# no: r2n00.npad.internal   cpus alocadas: 128
# gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
# verificacao: malha 256, 40 passos, campo final comparado com v0 sequencial
# v0 com   1 thread(s): identico
# v0 com   8 thread(s): identico
# v0 com  64 thread(s): identico
# v1 com   1 thread(s): identico
# v1 com   8 thread(s): identico
# v1 com  64 thread(s): identico
# v2 com   1 thread(s): identico
# v2 com   8 thread(s): identico
# v2 com  64 thread(s): identico
# v3 com   1 thread(s): identico
# v3 com   8 thread(s): identico
# v3 com  64 thread(s): identico
# v4 com   1 thread(s): identico
# v4 com   8 thread(s): identico
# v4 com  64 thread(s): identico

# versoes:
#   v0 = base da tarefa 11
#   v1 = first touch paralelo
#   v2 = interior sem modulo, bordas em serie
#   v3 = bordas distribuidas nas threads
#   v4 = uma unica regiao paralela
# passos=200 execucoes=5 (mediana)
modo,versao,threads,n,tempo,speedup,eficiencia
forte,v0,1,2048,3.306026,1.0000,1.0000
forte,v0,2,2048,1.767014,1.8710,0.9355
forte,v0,4,2048,1.073288,3.0803,0.7701
forte,v0,8,2048,1.004170,3.2923,0.4115
forte,v0,16,2048,0.689870,4.7922,0.2995
forte,v0,32,2048,0.187750,17.6086,0.5503
forte,v0,64,2048,0.117121,28.2274,0.4411
forte,v0,128,2048,0.076064,43.4637,0.3396
forte,v1,1,2048,3.292242,1.0000,1.0000
forte,v1,2,2048,1.757051,1.8737,0.9369
forte,v1,4,2048,1.076273,3.0589,0.7647
forte,v1,8,2048,1.001577,3.2871,0.4109
forte,v1,16,2048,0.733591,4.4878,0.2805
forte,v1,32,2048,0.216499,15.2068,0.4752
forte,v1,64,2048,0.120881,27.2355,0.4256
forte,v1,128,2048,0.066841,49.2546,0.3848
forte,v2,1,2048,2.452175,1.0000,1.0000
forte,v2,2,2048,1.325863,1.8495,0.9247
forte,v2,4,2048,1.029887,2.3810,0.5953
forte,v2,8,2048,0.952370,2.5748,0.3219
forte,v2,16,2048,0.695971,3.5234,0.2202
forte,v2,32,2048,0.187866,13.0528,0.4079
forte,v2,64,2048,0.147114,16.6686,0.2604
forte,v2,128,2048,0.130575,18.7798,0.1467
forte,v3,1,2048,2.439869,1.0000,1.0000
forte,v3,2,2048,1.297060,1.8811,0.9405
forte,v3,4,2048,0.973642,2.5059,0.6265
forte,v3,8,2048,0.927899,2.6295,0.3287
forte,v3,16,2048,0.663892,3.6751,0.2297
forte,v3,32,2048,0.167356,14.5790,0.4556
forte,v3,64,2048,0.100358,24.3117,0.3799
forte,v3,128,2048,0.058320,41.8357,0.3268
forte,v4,1,2048,2.443052,1.0000,1.0000
forte,v4,2,2048,1.316622,1.8555,0.9278
forte,v4,4,2048,0.984523,2.4815,0.6204
forte,v4,8,2048,0.920325,2.6546,0.3318
forte,v4,16,2048,0.659320,3.7054,0.2316
forte,v4,32,2048,0.155554,15.7054,0.4908
forte,v4,64,2048,0.095687,25.5318,0.3989
forte,v4,128,2048,0.049794,49.0632,0.3833

# versoes:
#   v0 = base da tarefa 11
#   v1 = first touch paralelo
#   v2 = interior sem modulo, bordas em serie
#   v3 = bordas distribuidas nas threads
#   v4 = uma unica regiao paralela
# passos=200 execucoes=5 (mediana)
modo,versao,threads,n,tempo,speedup,eficiencia
fraca,v0,1,1024,0.689963,1.0000,1.0000
fraca,v0,4,2048,1.050165,2.6280,0.6570
fraca,v0,16,4096,3.998285,2.7610,0.1726
fraca,v0,64,8192,4.132815,10.6846,0.1669
fraca,v1,1,1024,0.693978,1.0000,1.0000
fraca,v1,4,2048,1.032238,2.6892,0.6723
fraca,v1,16,4096,3.996981,2.7780,0.1736
fraca,v1,64,8192,4.135141,10.7408,0.1678
fraca,v2,1,1024,0.403687,1.0000,1.0000
fraca,v2,4,2048,1.000246,1.6144,0.4036
fraca,v2,16,4096,4.158067,1.5534,0.0971
fraca,v2,64,8192,4.681302,5.5190,0.0862
fraca,v3,1,1024,0.373186,1.0000,1.0000
fraca,v3,4,2048,0.979713,1.5237,0.3809
fraca,v3,16,4096,4.074075,1.4656,0.0916
fraca,v3,64,8192,4.106614,5.8160,0.0909
fraca,v4,1,1024,0.373674,1.0000,1.0000
fraca,v4,4,2048,0.980890,1.5238,0.3810
fraca,v4,16,4096,4.108737,1.4551,0.0909
fraca,v4,64,8192,4.142226,5.7735,0.0902
