# no: r2n19.npad.internal
# gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
# numactl: /opt/npad/shared/libraries/numactl/bin/numactl
# tempo base com 1 thread: 3.171441 s (mediana de 9)
# n=2048 passos=200 execucoes=5 (mediana)
rotulo,threads,n,tempo,speedup,eficiencia,dominios_l3,nos_numa,cpus_distintas
sem_afinidade,1,2048,3.263117,0.9719,0.9719,1,1,1
sem_afinidade,4,2048,0.898823,3.5284,0.8821,2,1,4
sem_afinidade,8,2048,0.483034,6.5657,0.8207,4,2,8
sem_afinidade,16,2048,0.317771,9.9803,0.6238,8,5,16
sem_afinidade,32,2048,0.123981,25.5800,0.7994,16,8,32
sem_afinidade,64,2048,0.164891,19.2335,0.3005,16,8,64
sem_afinidade,128,2048,0.095084,33.3541,0.2606,16,8,128
master_cores,1,2048,2.869966,1.1050,1.1050,1,1,1
master_cores,4,2048,3.581237,0.8856,0.2214,1,1,2
master_cores,8,2048,4.426206,0.7165,0.0896,1,1,2
master_cores,16,2048,5.886021,0.5388,0.0337,1,1,2
master_cores,32,2048,12.162811,0.2607,0.0081,1,1,2
master_cores,64,2048,25.093002,0.1264,0.0020,1,1,2
master_cores,128,2048,52.533006,0.0604,0.0005,1,1,2
close_cores,1,2048,3.300169,0.9610,0.9610,1,1,1
close_cores,4,2048,1.008783,3.1438,0.7860,1,1,4
close_cores,8,2048,0.940378,3.3725,0.4216,1,1,8
close_cores,16,2048,0.585843,5.4135,0.3383,2,1,16
close_cores,32,2048,0.149754,21.1777,0.6618,4,2,32
close_cores,64,2048,0.092973,34.1113,0.5330,8,4,64
close_cores,128,2048,0.054473,58.2209,0.4549,16,8,128
spread_cores,1,2048,3.521718,0.9005,0.9005,1,1,1
spread_cores,4,2048,0.903073,3.5118,0.8780,4,4,4
spread_cores,8,2048,0.467646,6.7817,0.8477,8,8,8
spread_cores,16,2048,0.248226,12.7764,0.7985,16,8,16
spread_cores,32,2048,0.145322,21.8235,0.6820,16,8,32
spread_cores,64,2048,0.089305,35.5123,0.5549,16,8,64
spread_cores,128,2048,0.053007,59.8309,0.4674,16,8,128
close_threads,1,2048,2.775358,1.1427,1.1427,1,1,1
close_threads,4,2048,1.412637,2.2451,0.5613,1,1,4
close_threads,8,2048,0.939031,3.3774,0.4222,1,1,8
close_threads,16,2048,0.893205,3.5506,0.2219,1,1,16
close_threads,32,2048,0.624326,5.0798,0.1587,2,1,32
close_threads,64,2048,0.135374,23.4272,0.3661,4,2,64
close_threads,128,2048,0.086332,36.7353,0.2870,8,4,128
spread_threads,1,2048,2.981856,1.0636,1.0636,1,1,1
spread_threads,4,2048,0.846608,3.7461,0.9365,4,4,4
spread_threads,8,2048,0.484566,6.5449,0.8181,8,8,8
spread_threads,16,2048,0.306065,10.3620,0.6476,16,8,16
spread_threads,32,2048,0.153465,20.6656,0.6458,16,8,32
spread_threads,64,2048,0.081315,39.0019,0.6094,16,8,64
spread_threads,128,2048,0.049890,63.5686,0.4966,16,8,128
close_sockets,1,2048,3.150301,1.0067,1.0067,1,1,1
close_sockets,4,2048,0.952492,3.3296,0.8324,3,2,4
close_sockets,8,2048,0.486220,6.5226,0.8153,3,2,8
close_sockets,16,2048,0.262707,12.0722,0.7545,8,6,16
close_sockets,32,2048,0.158978,19.9489,0.6234,10,8,32
close_sockets,64,2048,0.117222,27.0551,0.4227,15,8,64
close_sockets,128,2048,0.063586,49.8763,0.3897,16,8,128
spread_sockets,1,2048,2.535128,1.2510,1.2510,1,1,1
spread_sockets,4,2048,0.876233,3.6194,0.9049,3,2,4
spread_sockets,8,2048,0.446688,7.0999,0.8875,5,4,8
spread_sockets,16,2048,0.295941,10.7165,0.6698,8,6,16
spread_sockets,32,2048,0.172075,18.4306,0.5760,15,8,32
spread_sockets,64,2048,0.098350,32.2464,0.5038,16,8,63
spread_sockets,128,2048,0.095668,33.1506,0.2590,16,8,127

libgomp: Invalid value for environment variable OMP_PLACES
close_numa,1,2048,2.486606,1.2754,1.2754,1,1,1
close_numa,4,2048,1.499310,2.1153,0.5288,1,1,4
close_numa,8,2048,1.030731,3.0769,0.3846,1,1,8
close_numa,16,2048,0.913242,3.4727,0.2170,1,1,16
close_numa,32,2048,0.626863,5.0592,0.1581,2,1,32
close_numa,64,2048,0.100006,31.7126,0.4955,4,2,64
close_numa,128,2048,0.063977,49.5714,0.3873,8,4,128
so_gomp_lista,1,2048,3.510525,0.9034,0.9034,1,1,1
so_gomp_lista,4,2048,1.022998,3.1001,0.7750,1,1,4
so_gomp_lista,8,2048,0.918280,3.4537,0.4317,1,1,8
so_gomp_lista,16,2048,0.604228,5.2487,0.3280,2,1,16
so_gomp_lista,32,2048,0.171347,18.5089,0.5784,4,2,32
so_gomp_lista,64,2048,0.091170,34.7859,0.5435,8,4,64
so_gomp_lista,128,2048,0.050946,62.2511,0.4863,16,8,128
so_gomp_espalha,1,2048,2.988750,1.0611,1.0611,1,1,1
so_gomp_espalha,4,2048,0.804735,3.9410,0.9852,4,4,4
so_gomp_espalha,8,2048,0.483706,6.5565,0.8196,8,8,8
so_gomp_espalha,16,2048,3.225047,0.9834,0.0615,8,8,8
so_gomp_espalha,32,2048,4.863458,0.6521,0.0204,8,8,8
so_gomp_espalha,64,2048,11.343264,0.2796,0.0044,8,8,8
so_gomp_espalha,128,2048,24.350618,0.1302,0.0010,8,8,8
so_interleave,1,2048,3.077003,1.0307,1.0307,1,1,1
so_interleave,4,2048,0.953393,3.3265,0.8316,1,1,4
so_interleave,8,2048,0.854886,3.7098,0.4637,1,1,8
so_interleave,16,2048,0.417366,7.5987,0.4749,2,1,16
so_interleave,32,2048,0.170754,18.5731,0.5804,4,2,32
so_interleave,64,2048,0.076226,41.6056,0.6501,8,4,64
so_interleave,128,2048,0.050971,62.2209,0.4861,16,8,128
so_numa0,1,2048,3.369880,0.9411,0.9411,1,1,1
so_numa0,4,2048,1.038312,3.0544,0.7636,1,1,4
so_numa0,8,2048,0.937287,3.3836,0.4230,1,1,8
so_numa0,16,2048,0.597713,5.3060,0.3316,2,1,16

# mapa close_cores com 8 threads
#  thread:cpu 0:128 1:1 2:2 3:3 4:4 5:5 6:6 7:7 
# mapa close_threads com 8 threads
#  thread:cpu 0:0 1:128 2:1 3:129 4:2 5:130 6:3 7:131 
# mapa close_sockets com 8 threads
#  thread:cpu 0:9 1:135 2:32 3:191 4:64 5:65 6:66 7:67 
# mapa spread_cores com 8 threads
#  thread:cpu 0:128 1:16 2:32 3:48 4:64 5:80 6:96 7:112 
# mapa spread_threads com 8 threads
#  thread:cpu 0:0 1:16 2:32 3:48 4:64 5:80 6:96 7:112 
# mapa spread_sockets com 8 threads
#  thread:cpu 0:9 1:5 2:48 3:32 4:64 5:65 6:66 7:67 

# topologia do no
# NUMA node0 CPU(s):   0-15,128-143
# NUMA node1 CPU(s):   16-31,144-159
# NUMA node2 CPU(s):   32-47,160-175
# NUMA node3 CPU(s):   48-63,176-191
# NUMA node4 CPU(s):   64-79,192-207
# NUMA node5 CPU(s):   80-95,208-223
# NUMA node6 CPU(s):   96-111,224-239
# NUMA node7 CPU(s):   112-127,240-255
