Benchmark memory-bound: c[i] = a[i] + b[i]
Elementos por vetor: 33554432 | memoria total: 768.0 MiB
Mediana de 5 amostras, 4 repeticoes por amostra
Intensidade aritmetica: 0.041667 FLOP/byte util

threads,tempo_s,speedup,eficiencia_pct,largura_GB_s,GFLOP_s
1,0.038427600,1.000,100.0,20.96,0.873
2,0.027089175,1.419,70.9,29.73,1.239
4,0.018967475,2.026,50.6,42.46,1.769
6,0.018532525,2.074,34.6,43.45,1.811
8,0.017474425,2.199,27.5,46.08,1.920
10,0.017121650,2.244,22.4,47.03,1.960
12,0.016805250,2.287,19.1,47.92,1.997
14,0.016220175,2.369,16.9,49.65,2.069
16,0.016240475,2.366,14.8,49.59,2.066
20,0.015989500,2.403,12.0,50.36,2.099
